uri,label,sameAs_tgn,sameAs_geonames,sameAs_ecartico,provenance
,'s Gravenmoer,,,http://www.vondel.humanities.uva.nl/ecartico/places/2896,ga
,'s-Graveland,,,http://www.vondel.humanities.uva.nl/ecartico/places/917,ga
,'s-Gravendeel,,http://sws.geonames.org/2747375/,http://www.vondel.humanities.uva.nl/ecartico/places/435,ga
,'s-Gravenpolder,,,http://www.vondel.humanities.uva.nl/ecartico/places/2487,ga
,'s-Gravenzande,,http://sws.geonames.org/2747364/,http://www.vondel.humanities.uva.nl/ecartico/places/767,ga
,'s-Heerenberg,,,http://www.vondel.humanities.uva.nl/ecartico/places/1297,ga
,'s-Hertogenbosch,,http://sws.geonames.org/2747351/,http://www.vondel.humanities.uva.nl/ecartico/places/436,ga
,'s-Hertogenrade,,,http://www.vondel.humanities.uva.nl/ecartico/places/1378,ga
,Aabenraa,,,http://www.vondel.humanities.uva.nl/ecartico/places/3053,ga
,Aalborg,,http://sws.geonames.org/2624886/,http://www.vondel.humanities.uva.nl/ecartico/places/1593,ga
,Aalsmeer,,,http://www.vondel.humanities.uva.nl/ecartico/places/945,ga
,Aalten,,http://sws.geonames.org/2760123/,http://www.vondel.humanities.uva.nl/ecartico/places/1568,ga
,Aardenburg,,,http://www.vondel.humanities.uva.nl/ecartico/places/795,ga
,Aarhus,,,http://www.vondel.humanities.uva.nl/ecartico/places/1562,ga
,Aarlanderveen,,http://sws.geonames.org/2760092/,http://www.vondel.humanities.uva.nl/ecartico/places/1434,ga
,Abbehausen,,,http://www.vondel.humanities.uva.nl/ecartico/places/1276,ga
,Abbekerk,,http://sws.geonames.org/2760078/,http://www.vondel.humanities.uva.nl/ecartico/places/902,ga
,Abbenbroek,,http://sws.geonames.org/2760075/,http://www.vondel.humanities.uva.nl/ecartico/places/2332,ga
,Abbeville,,http://sws.geonames.org/3038789/,http://www.vondel.humanities.uva.nl/ecartico/places/1061,ga
,Abcoude,,http://sws.geonames.org/2760067/,http://www.vondel.humanities.uva.nl/ecartico/places/3,ga
,Aberdeen,,,http://www.vondel.humanities.uva.nl/ecartico/places/2113,ga
,Aduard,,,http://www.vondel.humanities.uva.nl/ecartico/places/1436,ga
,Ahaus,,http://sws.geonames.org/2959279/,http://www.vondel.humanities.uva.nl/ecartico/places/1040,ga
,Ahlen,,http://sws.geonames.org/2959223/,http://www.vondel.humanities.uva.nl/ecartico/places/2079,ga
,Aix-en-Provence,,,http://www.vondel.humanities.uva.nl/ecartico/places/4,ga
,Aken,,http://sws.geonames.org/3247449/,http://www.vondel.humanities.uva.nl/ecartico/places/5,ga
,Alblasserdam,,http://sws.geonames.org/2759915/,http://www.vondel.humanities.uva.nl/ecartico/places/880,ga
,Aleppo,,,http://www.vondel.humanities.uva.nl/ecartico/places/613,ga
,Alkmaar,,http://sws.geonames.org/2759899/,http://www.vondel.humanities.uva.nl/ecartico/places/7,ga
,Almelo,,,http://www.vondel.humanities.uva.nl/ecartico/places/978,ga
,Alphen aan den Rijn,,,http://www.vondel.humanities.uva.nl/ecartico/places/8,ga
,Altena,,,http://www.vondel.humanities.uva.nl/ecartico/places/1142,ga
,Altona,,,http://www.vondel.humanities.uva.nl/ecartico/places/812,ga
,Ameide,,,http://www.vondel.humanities.uva.nl/ecartico/places/1294,ga
,Ameland,,http://sws.geonames.org/2759846/,http://www.vondel.humanities.uva.nl/ecartico/places/1085,ga
,Amerongen,,http://sws.geonames.org/2759828/,http://www.vondel.humanities.uva.nl/ecartico/places/2338,ga
,Amersfoort,,http://sws.geonames.org/2759821/,http://www.vondel.humanities.uva.nl/ecartico/places/9,ga
,Amiens,,http://sws.geonames.org/3037854/,http://www.vondel.humanities.uva.nl/ecartico/places/10,ga
,Amstelveen,,http://sws.geonames.org/2759798/,http://www.vondel.humanities.uva.nl/ecartico/places/593,ga
,Amsterdam,,http://sws.geonames.org/2759794/,http://www.vondel.humanities.uva.nl/ecartico/places/11,ga
,Ängelholm,,,http://www.vondel.humanities.uva.nl/ecartico/places/3086,ga
