uri,normalized,hisco_category,provenance
,aandraaier,https://iisg.amsterdam/resource/hisco/code/hisco/75490,jaikwil
,aanspreker,https://iisg.amsterdam/resource/hisco/code/hisco/59220,jaikwil
,aardwerker,https://iisg.amsterdam/resource/hisco/code/hisco/97400,jaikwil
,adelborst,https://iisg.amsterdam/resource/hisco/code/hisco/58320,jaikwil
,advocaat,https://iisg.amsterdam/resource/hisco/code/hisco/12110,jaikwil
,afbrander,https://iisg.amsterdam/resource/hisco/code/hisco/96930,jaikwil
,afzetter,https://iisg.amsterdam/resource/hisco/code/hisco/97125,jaikwil
,ankersmid,https://iisg.amsterdam/resource/hisco/code/hisco/83110,jaikwil
,ankersmidsgezel,https://iisg.amsterdam/resource/hisco/code/hisco/83110,jaikwil
,antieksnijder,https://iisg.amsterdam/resource/hisco/code/hisco/81120,jaikwil
,apotheker,https://iisg.amsterdam/resource/hisco/code/hisco/6710,jaikwil
,appelkoper,https://iisg.amsterdam/resource/hisco/code/hisco/42220,jaikwil
,appelkruier,https://iisg.amsterdam/resource/hisco/code/hisco/97190,jaikwil
,appelmeester,https://iisg.amsterdam/resource/hisco/code/hisco/97145,jaikwil
,appelmeter,https://iisg.amsterdam/resource/hisco/code/hisco/97145,jaikwil
,appelverkoper,https://iisg.amsterdam/resource/hisco/code/hisco/45125,jaikwil
,arbeider,https://iisg.amsterdam/resource/hisco/code/hisco/99900,jaikwil
,arbeider (aan de straat),https://iisg.amsterdam/resource/hisco/code/hisco/99900,jaikwil
,armozijnwerker,https://iisg.amsterdam/resource/hisco/code/hisco/75990,jaikwil
,armozijnwerkersgezel,https://iisg.amsterdam/resource/hisco/code/hisco/75990,jaikwil
,arts,https://iisg.amsterdam/resource/hisco/code/hisco/6105,jaikwil
,asbezemmmaker,https://iisg.amsterdam/resource/hisco/code/hisco/94240,jaikwil
,askoper,https://iisg.amsterdam/resource/hisco/code/hisco/49030,jaikwil
,aswerker,https://iisg.amsterdam/resource/hisco/code/hisco/99999,jaikwil
,azijnmaker,https://iisg.amsterdam/resource/hisco/code/hisco/77870,jaikwil
,baaiwerker,https://iisg.amsterdam/resource/hisco/code/hisco/75000,jaikwil
,baander,https://iisg.amsterdam/resource/hisco/code/hisco/75710,jaikwil
,baanknecht,https://iisg.amsterdam/resource/hisco/code/hisco/62210,jaikwil
,baas (Werkhuis),https://iisg.amsterdam/resource/hisco/code/hisco/22610,jaikwil
,bakboordsgezel,https://iisg.amsterdam/resource/hisco/code/hisco/98140,jaikwil
,bakker,https://iisg.amsterdam/resource/hisco/code/hisco/77610,jaikwil
,Bakker,https://iisg.amsterdam/resource/hisco/code/hisco/77610,jaikwil
,bakkersgezel,https://iisg.amsterdam/resource/hisco/code/hisco/77610,jaikwil
,bakkersknecht,https://iisg.amsterdam/resource/hisco/code/hisco/77610,jaikwil
,bakkersschotelmaker,https://iisg.amsterdam/resource/hisco/code/hisco/84990,jaikwil
,balansenmaker,https://iisg.amsterdam/resource/hisco/code/hisco/39150,jaikwil
,balansmaker,https://iisg.amsterdam/resource/hisco/code/hisco/39150,jaikwil
,balansmakersgezel,https://iisg.amsterdam/resource/hisco/code/hisco/39150,jaikwil
,baleinklover,https://iisg.amsterdam/resource/hisco/code/hisco/94990,jaikwil
,baleinmaker,https://iisg.amsterdam/resource/hisco/code/hisco/94990,jaikwil
,baleinsnijder,https://iisg.amsterdam/resource/hisco/code/hisco/94990,jaikwil
,baleinverkoper,https://iisg.amsterdam/resource/hisco/code/hisco/94990,jaikwil
,baleinwerker,https://iisg.amsterdam/resource/hisco/code/hisco/94990,jaikwil
,baljuw,https://iisg.amsterdam/resource/hisco/code/hisco/12210,jaikwil
,baljuwsdienaar,https://iisg.amsterdam/resource/hisco/code/hisco/12210,jaikwil
,balkwerker,https://iisg.amsterdam/resource/hisco/code/hisco/99999,jaikwil
,ballastvaarder,https://iisg.amsterdam/resource/hisco/code/hisco/4220,jaikwil
